character	episode	words	profanities
9	89	0.0	0
10	89	4.61	12.74
11	89	1.97	0
1	90	1.06	31.25
2	90	1.43	23.26
3	90	3.69	18.02
4	90	0.0	0
5	90	0.17	0
6	90	0.0	0
7	90	10.77	3.09
8	90	0.0	0
9	90	0.0	0
10	90	0.0	0
11	90	0.0	0
1	91	21.32	28.81
2	91	9.51	24.62
3	91	11.26	2.6
4	91	0.64	90.91
5	91	0.0	0
6	91	0.0	0
7	91	7.05	0
8	91	0.0	0
9	91	0.2	142.86
10	91	0.0	0
11	91	0.0	0
1	92	12.26	36.23
2	92	8.94	43.05
3	92	10.92	24.39
4	92	0.0	0
5	92	7.05	21.01
6	92	0.0	0
7	92	15.63	30.3
8	92	0.0	0
9	92	0.0	0
10	92	7.46	7.94
11	92	1.33	0
1	93	3.3	26.79
2	93	2.83	52.08
3	93	3.71	39.68
4	93	0.0	0
5	93	0.88	0
6	93	4.12	50.0
7	93	4.71	12.5
8	93	0.0	0
9	93	25.47	21.97
10	93	0.0	0
11	93	0.0	0
1	94	2.9	54.05
2	94	4.75	16.48
3	94	27.55	8.52
4	94	0.0	0
5	94	0.0	0
6	94	8.4	6.21
7	94	0.0	0
8	94	0.0	0
9	94	0.0	0
10	94	0.0	0
11	94	0.0	0
1	95	21.58	16.08
2	95	1.73	13.33
3	95	25.39	21.86
4	95	0.0	0
5	95	12.88	1.8
6	95	0.0	0
7	95	7.63	3.03
8	95	0.0	0
9	95	0.0	0
10	95	0.72	0
11	95	0.44	0
1	96	21.57	10.22
2	96	7.57	9.71
3	96	5.51	13.33
4	96	0.48	0
5	96	0.0	0
6	96	0.0	0
7	96	0.18	0
8	96	0.0	0
9	96	0.07	0
10	96	0.0	0
11	96	0.0	0
1	97	14.9	24.69
2	97	11.13	30.3
3	97	13.34	9.2
4	97	0.64	0
5	97	0.0	0
6	97	11.96	30.77
7	97	0.0	0
8	97	0.0	0
9	97	0.0	0
10	97	0.0	0
11	97	0.0	0
1	98	1.45	21.28
2	98	1.42	0
3	98	2.0	0
4	98	0.0	0
5	98	2.16	0
6	98	0.0	0
7	98	0.12	0
8	98	0.0	0
9	98	0.09	0
10	98	0.0	0
11	98	0.0	0
1	99	29.57	6.56
2	99	13.19	6.3
3	99	7.07	15.69
4	99	0.55	100.0
5	99	5.46	10.15
6	99	0.0	0
7	99	0.0	0
8	99	0.0	0
9	99	0.64	0
10	99	0.36	0
11	99	0.0	0
1	100	22.47	18.84
2	100	5.32	45.45
3	100	5.9	10.26
4	100	0.27	0
5	100	0.15	0
6	100	0.0	0
7	100	8.95	13.51
8	100	0.0	0
9	100	5.08	17.86
10	100	0.0	0
11	100	0.0	0
1	101	31.52	8.3
2	101	12.25	24.91
3	101	3.92	0
4	101	0.17	0
5	101	1.05	0
6	101	0.0	0
7	101	0.0	0
8	101	0.0	0
9	101	2.27	19.23
10	101	0.0	0
11	101	0.0	0
1	102	19.14	24.73
2	102	9.44	9.4
3	102	17.98	8.22
4	102	1.21	24.39
5	102	3.76	7.87
6	102	0.0	0
7	102	0.0	0
8	102	0.0	0
9	102	2.81	21.05
10	102	0.0	0
11	102	0.0	0
1	103	3.48	27.78
2	103	3.61	0
3	103	13.29	4.85
4	103	0.03	0
5	103	1.93	0
6	103	0.71	0
7	103	15.9	2.03
8	103	0.0	0
9	103	1.74	18.52
10	103	0.0	0
11	103	0.0	0
1	104	8.81	30.72
2	104	7.58	31.75
3	104	7.82	19.23
4	104	0.42	0
5	104	0.18	0
6	104	5.44	16.57
7	104	4.63	19.48
8	104	0.0	0
9	104	16.45	29.25
10	104	0.33	0
11	104	2.59	81.4
1	105	35.51	17.56
2	105	18.7	12.12
3	105	6.91	0
4	105	0.43	0
5	105	2.1	13.51
6	105	0.0	0
7	105	1.08	0
8	105	0.0	0
9	105	0.0	0
10	105	0.0	0
11	105	0.0	0
1	106	12.54	10.67
2	106	3.31	30.3
3	106	8.96	0
4	106	0.3	0
5	106	0.0	0
6	106	0.0	0
7	106	15.82	2.11
8	106	0.0	0
9	106	2.34	0
10	106	0.0	0
11	106	0.0	0
1	107	55.53	23.01
2	107	12.58	69.28
3	107	1.95	14.93
4	107	0.09	0
5	107	15.8	0
6	107	0.0	0
7	107	0.0	0
8	107	0.0	0
9	107	0.0	0
10	107	0.0	0
11	107	0.0	0
1	108	3.96	33.78
2	108	1.74	30.77
3	108	14.64	12.8
4	108	0.0	0
5	108	0.32	0
6	108	0.0	0
7	108	10.49	12.76
8	108	0.0	0
9	108	3.0	8.93
10	108	0.13	200.0
11	108	0.08	333.33
1	109	19.21	10.89
2	109	12.4	7.23
3	109	4.6	12.99
4	109	0.24	0
5	109	0.0	0
6	109	0.0	0
7	109	3.38	8.85
8	109	0.0	0
9	109	0.42	71.43
10	109	0.0	0
11	109	0.0	0
1	110	2.5	22.73
2	110	9.84	11.56
3	110	17.82	6.38
4	110	0.0	0
5	110	21.06	5.4
6	110	0.0	0
7	110	0.0	0
8	110	1.02	27.78
9	110	0.31	0
10	110	0.0	0
11	110	0.0	0
1	111	14.21	16.49
2	111	17.14	3.42
3	111	5.54	0
4	111	0.56	52.63
5	111	0.0	0
6	111	0.94	0
7	111	0.44	0
8	111	0.0	0
9	111	0.29	0
10	111	0.0	0
11	111	0.0	0
1	112	24.2	39.04
2	112	16.25	35.65
3	112	18.04	27.03
4	112	0.82	74.07
5	112	10.52	0
6	112	1.65	0
7	112	0.12	0
8	112	0.0	0
9	112	0.37	0
10	112	0.49	125.0
11	112	4.39	41.67
1	113	26.36	16.44
2	113	8.04	9.8
3	113	0.79	0
4	113	0.0	0
5	113	0.0	0
6	113	0.0	0
7	113	0.0	0
8	113	0.0	0
9	113	0.0	0
10	113	0.0	0
11	113	0.0	0
1	114	29.31	18.16
2	114	13.34	28.82
3	114	20.11	16.18
4	114	0.56	52.63
5	114	0.0	0
6	114	0.0	0
7	114	0.0	0
8	114	0.0	0
9	114	0.0	0
10	114	0.0	0
11	114	0.0	0
1	115	0.67	47.62
2	115	1.33	0
3	115	21.79	11.64
4	115	0.06	0
5	115	4.54	0
6	115	11.32	2.8
7	115	9.42	6.73
8	115	0.0	0
9	115	0.73	43.48
10	115	0.0	0
11	115	0.0	0
1	116	19.35	28.04
2	116	0.96	62.5
3	116	0.45	66.67
4	116	0.0	0
5	116	41.56	2.9
6	116	0.0	0
7	116	0.0	0
8	116	0.0	0
9	116	0.0	0
10	116	0.0	0
11	116	0.0	0
1	117	16.39	13.82
2	117	10.95	5.17
3	117	6.91	4.1
4	117	1.02	0
5	117	0.0	0
6	117	0.0	0
7	117	1.9	0
8	117	0.0	0
9	117	0.0	0
10	117	0.0	0
11	117	0.2	0
1	118	6.16	45.92
2	118	2.48	50.63
