character	episode	words	profanities
1	87	10.93	47.35
2	87	6.27	58.25
3	87	3.84	55.56
4	87	0.0	0
5	87	0.18	0
6	87	0.12	0
7	87	8.13	3.75
8	87	0.0	0
9	87	0.0	0
10	87	0.0	0
11	87	0.12	0
1	88	14.52	22.31
2	88	10.16	2.9
3	88	17.79	6.62
4	88	0.0	0
5	88	0.0	0
6	88	0.0	0
7	88	0.0	0
8	88	0.0	0
9	88	0.0	0
10	88	0.0	0
11	88	0.0	0
1	89	16.21	18.45
2	89	5.03	17.86
3	89	8.53	7.02
4	89	0.0	0
5	89	1.97	0
6	89	0.0	0
7	89	4.16	71.94
8	89	5.41	44.2
9	89	0.0	0
10	89	4.67	12.82
11	89	2.0	0
1	90	1.09	31.25
2	90	1.46	0
3	90	3.77	18.02
4	90	0.0	0
5	90	0.17	0
6	90	0.0	0
7	90	10.91	3.12
8	90	0.0	0
9	90	0.0	0
10	90	0.0	0
11	90	0.0	0
1	91	21.23	26.65
2	91	9.56	18.69
3	91	11.37	2.62
4	91	0.65	90.91
5	91	0.0	0
6	91	0.0	0
7	91	7.14	0
8	91	0.0	0
9	91	0.21	142.86
10	91	0.0	0
11	91	0.0	0
1	92	12.3	31.86
2	92	9.05	10.0
3	92	11.01	5.48
4	92	0.0	0
5	92	6.85	0
6	92	0.0	0
7	92	15.56	31.01
8	92	0.0	0
9	92	0.0	0
10	92	7.42	8.13
11	92	1.36	0
1	93	3.3	27.27
2	93	2.88	62.5
3	93	3.75	32.0
4	93	0.0	0
5	93	0.9	0
6	93	4.17	50.36
7	93	4.77	12.58
8	93	0.0	0
9	93	25.1	19.12
10	93	0.0	0
11	93	0.0	0
1	94	2.87	46.3
2	94	4.75	22.35
3	94	27.89	17.13
4	94	0.0	0
5	94	0.0	0
6	94	8.52	6.23
7	94	0.0	0
8	94	0.0	0
9	94	0.0	0
10	94	0.0	0
11	94	0.0	0
1	95	21.47	17.47
2	95	1.76	13.33
3	95	25.4	11.07
4	95	0.0	0
5	95	12.89	9.09
6	95	0.0	0
7	95	7.69	0
8	95	0.0	0
9	95	0.0	0
10	95	0.73	0
11	95	0.45	0
1	96	21.66	15.54
2	96	7.67	9.76
3	96	5.61	13.33
4	96	0.49	0
5	96	0.0	0
6	96	0.0	0
7	96	0.19	0
8	96	0.0	0
9	96	0.07	0
10	96	0.0	0
11	96	0.0	0
1	97	14.71	25.48
2	97	11.25	27.78
3	97	13.46	6.96
4	97	0.66	0
5	97	0.0	0
6	97	12.03	25.97
7	97	0.0	0
