character	episode	value
17	94	0
18	95	10.78
1	95	18.56
2	95	13.33
3	95	12.92
4	95	0
5	95	9.09
6	95	0
7	95	0
8	95	0
9	95	0
10	95	0
11	95	0
12	95	0
13	95	0
14	95	0
15	95	0
16	95	0
17	95	0
18	96	17.22
1	96	15.54
2	96	14.63
3	96	13.33
4	96	0
5	96	0
6	96	0
7	96	0
8	96	0
9	96	0
10	96	0
11	96	0
12	96	0
13	96	0
14	96	0
15	96	0
16	96	6.94
17	96	0
18	97	14.37
1	97	27.6
2	97	33.33
3	97	6.96
4	97	0
5	97	0
6	97	28.57
7	97	0
8	97	0
9	97	0
10	97	0
11	97	0
12	97	0
13	97	0
14	97	200.0
15	97	0
16	97	0
17	97	0
18	98	10.06
1	98	21.74
2	98	0
3	98	0
4	98	0
5	98	14.29
6	98	0
7	98	0
8	98	0
9	98	0
10	98	0
11	98	0
12	98	0
13	98	0
14	98	0
15	98	0
16	98	0
17	98	0
18	99	5.36
1	99	7.6
2	99	8.62
3	99	7.94
4	99	100.0
5	99	5.15
6	99	0
7	99	0
8	99	0
9	99	0
10	99	0
11	99	0
12	99	0
13	99	0
14	99	0
15	99	0
16	99	0
17	99	0
18	100	8.55
1	100	9.56
2	100	51.43
3	100	10.36
4	100	0
5	100	0
6	100	0
7	100	6.8
8	100	0
9	100	0
10	100	0
11	100	0
12	100	0
13	100	0
14	100	0
15	100	0
16	100	0
17	100	0
18	101	13.7
1	101	9.87
2	101	28.78
3	101	11.24
4	101	0
5	101	0
6	101	0
7	101	0
8	101	0
9	101	0
10	101	0
11	101	0
12	101	0
13	101	0
14	101	0
15	101	0
16	101	0
17	101	0
18	102	10.79
1	102	14.11
2	102	6.35
3	102	6.63
4	102	0
5	102	7.94
6	102	0
7	102	0
8	102	0
9	102	0
10	102	0
11	102	0
12	102	0
13	102	0
14	102	0
15	102	0
16	102	0
17	102	0
18	103	4.58
1	103	28.04
2	103	18.02
3	103	4.9
4	103	0
5	103	0
6	103	0
7	103	4.11
8	103	0
9	103	18.87
10	103	0
11	103	0
12	103	0
13	103	0
14	103	0
15	103	0
16	103	0
17	103	0
18	104	25.53
1	104	30.93
2	104	32.0
3	104	19.31
4	104	0
5	104	0
6	104	16.57
7	104	19.74
8	104	0
9	104	33.58
10	104	0
11	104	81.4
12	104	0
13	104	0
14	104	0
15	104	0
16	104	0
17	104	0
18	105	10.04
1	105	12.98
2	105	15.29
3	105	4.1
4	105	0
5	105	13.51
6	105	0
7	105	0
8	105	0
9	105	0
10	105	0
11	105	0
12	105	0
13	105	45.87
14	105	0
15	105	0
16	105	0
17	105	0
18	106	8.49
1	106	10.93
2	106	20.2
3	106	0
4	106	0
5	106	0
6	106	0
7	106	6.47
8	106	0
9	106	0
10	106	0
11	106	0
12	106	0
13	106	0
14	106	0
15	106	0
16	106	0
17	106	0
18	107	11.35
1	107	9.21
2	107	48.84
3	107	0
4	107	0
5	107	0
6	107	0
7	107	0
8	107	0
9	107	0
10	107	0
11	107	0
12	107	0
13	107	0
14	107	0
15	107	0
16	107	0
